X,Y,substrict,time,price,type,direction,square,price per m2,PageUrl
116.480977,39.886406,磨房北里,2011.01.14,108,1室1厅1厨1卫,南 北,40.54,26640,https://bj.ke.com/chengjiao/BJCY84121898.html
116.487808,39.889853,平乐园小区,2011.07.10,123,1室1厅1厨1卫,南,46.43,26491,https://bj.ke.com/chengjiao/BJCY84694445.html
116.48072,39.884041,磨房南里,2011.07.20,160,2室1厅1厨1卫,南 北,58.13,27525,https://bj.ke.com/chengjiao/BJCY84710408.html
116.481662,39.878749,松榆东里,2011.09.23,140,2室1厅1厨1卫,南 北,59.12,23681,https://bj.ke.com/chengjiao/BJCY00465546.html
116.487808,39.889853,平乐园小区,2011.09.25,116,2室1厅1厨1卫,南 北,48.27,24031,https://bj.ke.com/chengjiao/BJCY00425158.html
116.481662,39.878749,松榆东里,2011.09.25,120,1室1厅1厨1卫,东 南,55.05,21798,https://bj.ke.com/chengjiao/BJCY00381826.html
116.481662,39.878749,松榆东里,2011.09.28,103,1室1厅1厨1卫,南,41.9,24582,https://bj.ke.com/chengjiao/BJCY00381916.html
116.483653,39.88914,禧福汇,2011.10.02,361,2室1厅1厨1卫,东 南,103.27,34957,https://bj.ke.com/chengjiao/BJCY00400037.html
116.480977,39.886406,磨房北里,2011.10.09,154,2室1厅1厨1卫,东 南 西 北,69.36,22203,https://bj.ke.com/chengjiao/BJCY00368483.html
116.487808,39.889853,平乐园小区,2011.10.09,110,1室1厅1厨1卫,南 北,46.35,23732,https://bj.ke.com/chengjiao/BJCY00501831.html
116.481662,39.878749,松榆东里,2011.10.16,138,2室1厅1厨1卫,东 北,60.32,22878,https://bj.ke.com/chengjiao/BJCY00365774.html
116.487808,39.889853,平乐园小区,2011.10.28,138,2室1厅1厨1卫,南 北,61.55,22421,https://bj.ke.com/chengjiao/BJCY07037771.html
116.480977,39.886406,磨房北里,2011.10.31,103,1室1厅1厨1卫,南 北,45.6,22588,https://bj.ke.com/chengjiao/BJCY02072665.html
116.487808,39.889853,平乐园小区,2011.11.01,130,2室1厅1厨1卫,南 北,60.07,21641,https://bj.ke.com/chengjiao/BJCY00323985.html
116.487808,39.889853,平乐园小区,2011.11.05,112,1室1厅1厨1卫,南 北,46.32,24180,https://bj.ke.com/chengjiao/BJCY00425096.html
116.487808,39.889853,平乐园小区,2011.11.12,112,1室1厅1厨1卫,南 北,46.47,24102,https://bj.ke.com/chengjiao/BJCY03897751.html
116.480977,39.886406,磨房北里,2011.11.13,134,3室1厅1厨1卫,东 南 西 北,66.1,20272,https://bj.ke.com/chengjiao/BJCY15750052.html
116.481662,39.878749,松榆东里,2011.11.15,95,1室1厅1厨1卫,西,39.67,23948,https://bj.ke.com/chengjiao/BJCY39797764.html
116.487808,39.889853,平乐园小区,2011.11.26,138,1室0厅1厨1卫,北,60.69,22739,https://bj.ke.com/chengjiao/BJCY00414980.html
116.487808,39.889853,平乐园小区,2011.12.04,104,1室1厅1厨1卫,南 北,47.17,22048,https://bj.ke.com/chengjiao/BJCY84122839.html
